"","WT_t0_","WT_t0.5_","chl1_t0_","chl1_t0.5_"
"AT3G62930",4.6212167959143,7.18903026391843,4.45171247648661,6.68421707458284
"AT1G71040",7.3933708749472,7.9050187975618,7.28446731582744,7.92089274159144
"AT3G45330",7.04350682714503,5.89418723961212,7.11419568745074,5.8321271965889
"AT4G38400",5.26079294418397,6.97923074512646,5.218309604681,6.92464216966182
"AT2G43880",7.34869492272184,6.02439465795636,7.44536459492782,6.2527411181742
"AT1G73340",7.00378276276423,8.81281965397642,6.96848441122758,8.34373448225614
"AT1G55430",5.39272784393456,6.65735753815404,5.3439433595598,6.54125566407146
"AT4G36540",5.10002404397381,6.28556913982478,5.13575606361364,6.00077961764358
"AT3G49220",7.72437829031958,8.27376519556974,7.62319805473938,8.30331499610209
"AT4G33960",6.36237989797863,8.53226937047938,6.2567407420501,7.60285559459511
"AT5G66530",8.23438164615712,9.15017990577419,8.22901225973633,8.67182983644245
"AT1G20640",7.84130596339855,6.58709024554368,7.80294020674384,6.92365952609934
"AT5G52510",9.44535609999914,10.3325622957604,9.39807661210888,10.2463182398362
"AT3G17609",6.26451597863868,7.98828265257766,6.57103732480027,7.40171353658797
"AT5G54170",7.21916007755264,9.29695227340455,7.22643527468722,8.63156479791959
"AT4G15700",3.39848018387875,4.87765525662043,3.7625366312529,4.16246085350586
"AT4G37300",6.90160548501115,7.78268831491804,7.07167239350849,7.34905324135644
"AT1G36370",9.11806387502881,9.98375128480635,9.13219144378179,9.62219868514963
"AT4G24400",9.28430934059003,10.1907616976944,9.28417820258503,9.49838927018805
"AT3G28910",4.64879989186614,5.99226416212739,4.64628678695365,5.40835727235968
"AT1G21890",6.42783663266794,5.13386447563102,6.6624763453189,5.44261586807828
"AT5G15830",7.11590833828402,8.97053988390824,7.26187901677251,8.13165845575643
"AT1G76040",6.31199066938767,8.00469060288286,6.32999739568843,7.63538484240264
"AT2G42580",7.56310722765958,8.40657018237509,7.5223767778094,8.42637555066573
"AT5G42840",5.36936564030183,6.55406691685927,5.23513757129356,6.01811383616357
"AT1G72300",8.20429250592362,9.74685910874183,8.25098598470399,9.33861938441527
"AT4G25640",9.47725189589146,8.89229436876209,9.46654374051714,8.84517521425267
"AT3G07350",7.24648704143553,10.8929598952553,7.22457147184815,10.0622854756661
"AT3G18400",7.0287248897877,7.59853166147174,7.09043118217442,7.56161743646236
"AT1G76520",7.11888348227657,8.61956389325855,7.0273018983045,8.21053459313483
"AT1G72890",8.51868679079598,7.02235091147982,8.51909827697934,7.3942237778214
"AT5G04540",7.88795509529333,8.46729187333194,7.8898388166642,8.16849952192607
"AT3G45530",5.70042208785266,6.18785262510701,5.50933851035422,6.14446701940441
"AT5G16940",7.77532435778371,7.30453877669551,7.90977712821449,7.30367570767762
"AT5G27100",7.2789673605992,8.07426393673682,7.24963030303013,7.78278994470154
"AT3G23240",6.51532283501339,5.20375860762949,6.23134143328941,5.13694666703385
"AT4G02540",8.39270674031178,9.45547669004744,8.44804877243534,9.51185309274301
"AT5G26740",9.03201926221688,9.98020132833447,9.06613974163497,10.0357300006512
"AT2G27820",9.03086321615404,7.87960865932161,8.97991767124918,8.28378332658786
"AT4G18630",6.32914086698777,4.71861695516051,6.55120820124928,5.07081057327949
"AT3G52840",5.9294009872621,6.98121703704499,5.88077554593289,6.83306443932013
"AT4G25760",7.88783462010003,6.61765197243593,8.09706481098997,6.86919622603951
"AT3G25780",8.63924401796656,10.1967419187773,8.61479199784645,10.0424076168468
"AT3G23160",7.72060951016487,7.12262085024053,7.76834349633049,7.32171475001254
"AT3G21710",11.3073364449911,10.4003565125626,11.2571990847495,10.5230685803364
"AT4G03210",8.04465906547432,8.68290531573862,7.96588907995898,8.80899851158615
"AT3G16560",6.7950651476885,8.90914486080698,7.05274013261734,8.19345118069964
"AT3G26210",9.57980364263443,9.10022441338432,9.64944107268861,8.92626069166234
"AT5G05860",8.50726457706274,7.81549727360855,8.61777382418393,7.90028771770167
"AT5G67150",7.44321208633598,6.90762184740237,7.5738022138103,6.88440807903107
