"","WT_t0_R1","WT_t0_R2","WT_t0_R3","WT_t0.5_R1","WT_t0.5_R2","WT_t0.5_R3","chl1_t0_R1","chl1_t0_R2","chl1_t0_R3","chl1_t0.5_R1","chl1_t0.5_R2","chl1_t0.5_R3"
"AT5G58900",7.84868085659313,7.74649716282361,7.43023865451244,10.2015022635608,9.83753547719347,8.92233634361801,7.84727591207635,7.82446769109599,7.80284694116681,9.77708574022613,9.58712291021964,8.71742254171915
"AT2G21210",3.15223509185878,3.25540557129459,3.40912416834537,4.2166267903062,4.72172675359238,4.54964860255123,3.22149728079616,3.0297946350887,3.35928659476535,3.46456675827393,3.61739436856505,3.98423763157309
"AT2G34830",6.57848844537195,6.74033127573854,6.74331499619858,7.69767597527898,7.68068324852528,8.15656014453404,6.66532150638599,6.52538544853563,6.88773048885671,7.36584695832192,7.53557433887339,8.00273382789212
"AT1G54120",7.46064140217599,7.67652190000307,7.80382016505134,9.63457734008082,9.27400772230579,8.74932797258741,7.41518620277287,7.4422249034375,8.09596127679589,8.82945040601659,8.72593513660664,8.36433098252544
"AT1G70790",7.46822079672598,7.1213308083149,7.22589868797528,8.28662782671542,8.06931165241817,8.06291608741005,7.57781339722085,7.21918085805325,7.42190671758098,7.94436354655573,8.03917307309066,7.77502696518122
"AT1G55790",8.94527528849444,8.21589945554081,8.32041368944728,7.07448034154221,7.1028180381547,6.83094456658773,9.08523144989525,8.37550607040931,8.40933117315121,7.5005469596442,7.84298523835382,7.37677460085022
"AT1G68710",7.92367447331111,8.3554623586149,7.70655284343313,6.73630544995485,7.11601109420073,6.44513135297477,8.07057317129172,8.26430277492549,7.82501542280991,7.01801001886053,6.76820402647669,6.48167975360761
"AT1G19050",8.02133485930511,8.22547350363441,7.68603691219869,9.11586970857039,9.45030898239501,9.48435754438762,8.27783857769093,8.12246588612936,8.08400286226552,8.91100497881116,9.4654980688476,9.66054728398644
"AT5G10830",8.94794314746055,8.88052046540806,8.8256632287704,9.42644681582214,9.58684934495778,9.27381309832584,8.81098900233044,8.76297382786261,8.79096075696974,9.35320401371009,9.62290446640024,9.29204434824241
"AT1G49560",6.95421063968792,7.15084589936747,7.11245330680103,6.31853017796229,6.35130658134017,6.15921543556774,6.91928827437321,7.14476272157297,7.15172563430903,6.49857370535175,5.9767307161998,6.22767503251084
"AT1G07230",8.39238732911817,8.25094567886854,8.27432678351012,7.87865958044847,7.77176423290384,7.76242502698398,8.40107651070963,8.29668153492766,8.42082520575699,7.9904627504426,7.82485855639114,7.94234751351521
"AT4G30270",8.46439937435306,7.20808836586565,8.44145230590354,9.84119316721185,9.94186642120696,10.5444989515456,8.28217956044186,7.36446572159414,8.00211231360068,9.86090573954774,10.0564936758323,10.3821296394035
"AT1G80380",7.20787097159664,7.23817541691088,7.68785866875923,11.0292915652788,11.940560238235,12.1113559292772,7.07843379518257,7.5573545486399,7.88443057064718,8.95956998781902,10.9195138368821,11.7313582966142
"AT4G31000",5.37070794175143,5.33785014917634,5.54578808760026,6.46092394122866,7.31481067960797,7.25753469680197,5.23240228267886,5.76730206837571,5.34649572987698,6.61287672963051,7.15898283660674,7.19003656840739
"AT4G15680",6.10475963259525,5.30841963009467,6.28927375121541,7.91331154797101,7.38788866235631,7.42497577451474,6.20427284142277,5.70402320425529,6.27736395519937,7.13866042458585,7.0106696656281,7.26389434661869
"AT5G45000",6.7571878754173,7.03895724891296,6.85661857287002,6.36753048227468,6.35159011525583,6.57499683019861,7.06099076730664,7.03853283303237,7.09622989242523,6.28486160262723,6.44855121984321,6.49878830774045
"AT3G07360",8.06882799075679,7.83340333191255,7.78688799263789,8.67962257248875,8.97110532734185,8.88695340345382,8.05695479341698,7.97121352314404,7.98242124479067,8.39418498236899,8.72061895030929,8.8025591933453
"AT5G61340",9.19770317338451,9.71400526303985,9.54542703036029,8.37984389599687,8.25431171905179,8.41409269840214,9.06474971108065,9.70950902775262,9.63804770009715,8.61405930896379,8.29810005866074,8.43047155768597
"AT3G50900",9.53543918808432,9.28405900601964,9.12771542967735,10.4517259439594,10.3723647683402,10.9416986837723,9.52335717301819,9.35839582693325,9.17781790487174,9.91181458416549,9.93005958746172,10.4032383430082
"AT1G79320",8.41371904259836,8.67040537336057,8.49884534771195,7.37775074278395,7.85536698487052,7.94782662728216,8.49711500815655,8.78151222423062,8.60596458586555,7.41541775227369,7.77701825822595,7.74753665086201
"AT3G21070",7.84399205674927,7.82865933727981,7.69958760902406,7.15672569169487,7.1964744960922,7.33641742689128,7.77562528522987,7.63562389419781,7.8260188200341,7.02977483216219,7.27693247497254,7.33539986620942
"AT1G23480",7.27746019600515,7.28425463225217,7.38074221477063,8.39446041444618,8.5856842938309,8.95439919839971,7.27981860530907,7.38322030105432,7.20861230218991,8.06882799075679,8.50583167514263,8.98282606740247
"AT5G67080",4.74812415441984,4.63096666263916,4.81285809142534,6.07374543059112,6.80958914233183,7.20166129409603,4.60570284409721,4.62650347686532,4.5497174201993,5.60793152923253,5.56257520243298,6.43156476934469
"AT4G17670",8.97542899175537,9.30168686809538,8.77410213116917,7.3682550022909,7.05225523960729,6.64989499636145,9.14389339878002,9.22794978032857,8.3716944609763,8.00841121112905,7.90779752454403,7.20286927232179
"AT3G02550",8.81876530108877,8.98148769576898,9.65203993794872,7.48781864504692,7.37718541913703,7.9639560784702,8.88509939861198,9.06304839916185,9.56996744986654,7.88671807388309,7.79549708603129,8.18363782832348
"AT4G11020",4.11700357161344,4.34903491027328,3.61773150107142,6.02571883718602,5.43038245799705,5.0915025226897,3.96888107325711,4.02087366558054,3.5734256570674,5.2762476766628,5.67206037417156,4.9375751171008
"AT1G79970",8.53575186743195,8.64069817282665,8.69241596296118,8.21164544977991,8.15977922562092,8.04518474071281,8.56988980490215,8.57249971631106,8.58929528794047,8.14493738145868,8.2412024539932,8.0676039987415
"AT5G41810",9.12801505416108,9.00472452816574,9.3418036913559,8.21804291775019,8.01948909028663,8.54662292566791,9.17178214216028,9.02997144083391,9.36565008494757,8.36925294815555,8.56497859843916,8.67004756055205
"AT1G66450",6.1059187163679,6.26593506284867,6.30844239041424,7.00218261601742,6.90052036429102,6.97007351804666,6.24069607069262,6.36511983239958,6.4047314157282,6.60686903776639,6.27042781565143,6.62270738851114
"AT2G41830",6.70048692802651,7.01248315976703,6.80797945069049,7.45909760516684,7.69890035818013,7.44591915649346,6.75255073743473,6.97174176890994,6.69864205971372,7.47650025562273,7.86095835673428,7.47674720179501
"AT2G22200",4.00726612193469,3.83221668680217,4.25481932819804,5.44836016368241,5.23400452957151,5.52055457151434,4.30300279163308,3.92893466811904,4.12670913613628,4.69113644381763,5.48219905345665,5.43258529074902
"AT5G50900",9.09126299142509,9.04459376853507,9.15078624782842,9.62924953780639,9.66184677013649,9.76839292315228,8.86794843829606,9.02578586728624,9.21831892279106,9.49835640824719,9.52706227288139,9.68100571377672
"AT5G64850",6.81160239185475,7.13169957274274,6.76141145813296,7.72961597889593,8.0156060330631,7.68391726284904,7.11022939929737,7.30685338766396,7.03755260043321,7.67993066940165,8.17318086152525,7.90118022638944
"AT1G06760",10.7179773340317,10.6432655579871,10.6915198368443,10.0833150274929,10.0986339768842,10.0403911138784,10.5358420203497,10.7372345616588,10.7717768550439,10.2580491945334,10.3077293575,9.94724847634519
"AT4G31540",7.19054706705202,7.04270829659262,7.2787107673576,7.78758202019088,7.56829607968419,7.84296541062981,7.01284863392412,7.06223083240593,7.34185801744049,7.79522547581075,7.74383565228286,7.73737127507194
"AT1G22650",4.52537805222033,4.82854388014868,4.90819659465415,5.73560305017319,6.14901071234818,6.35256001068975,4.75436891094074,4.76422481917028,4.79634533328472,5.40513285135224,5.80989602365434,5.99524825865569
"AT5G09800",6.58986649195483,6.94866366800114,6.28062543555644,8.77182340193623,9.39805874068658,9.82982967465439,6.67433089620815,6.93954446387752,6.7299992030252,8.02731916519932,9.00258577850347,9.77943175279729
"AT5G43040",6.62415184753412,6.58696697100423,6.55209178582381,7.65922937140947,7.03457981745519,7.4532167571272,6.46652864068672,6.57968941822907,6.45809140941695,7.63393960023114,7.04034458462631,7.47472742951893
"AT5G41000",6.97526351852264,7.00571447048716,7.01649607485591,6.37533612214629,6.48001126517381,6.38121231589334,6.76038803979133,7.10365692525372,6.98053464297258,6.48357272383599,6.66215785454876,6.5097435799039
